ObjectID,Site Type,Tag Number ,Stream Width (m),Mesohabitat ,Other - Mesohabitat ,Depth (cm),Velocity (m/s),Substrate ,Canopy Cover ,Instream Cover Type (1),Instream Cover Percentage (1),Instream Cover Type (2),Instream Cover Percentage (2),Instream Cover Type (3),Instream Cover Percentage (3),Stream Name,Date and Time,Temperature (C) 
259,Available,na,11.01,Pool,,67,0,Silt Clay,Yes,Terrestrial_Vegetation,30,na,0,na,0,West_Clear_Creek,3/17/2022,8
260,Occupied,160,9.94,Riffle,,>150,na,na,na,na,0,na,0,na,0,West_Clear_Creek,3/17/2022,8
261,Available,na,9.91,Riffle,,61,0.07,Silt Clay,Yes,Woody_Debris,30,na,0,na,0,West_Clear_Creek,3/17/2022,8
262,Occupied,184,9.98,Riffle,,>150,na,na,na,na,0,na,0,na,0,West_Clear_Creek,3/17/2022,8
263,Available,na,9.98,Riffle,,>150,na,na,na,na,0,na,0,na,0,West_Clear_Creek,3/17/2022,8
264,Available,na,7.96,Riffle,,80,0.06,na,Yes,Woody_Debris,10,Surface_Turbulence,10,na,0,West_Clear_Creek,3/17/2022,8
265,Occupied,182,7.74,Riffle,,62,0,Gravel,Yes,Woody_Debris,10,na,0,na,0,West_Clear_Creek,3/17/2022,8
266,Available,na,8.07,Riffle,,38,0,Cobble,Yes,Substrate_Feature,20,Surface_Turbulence,20,na,0,West_Clear_Creek,3/17/2022,8
267,Available,na,6.76,Riffle,,24,0.19,Cobble,Yes,Substrate_Feature,20,Surface_Turbulence,5,na,0,West_Clear_Creek,3/17/2022,8
268,Occupied,199,8.22,Riffle,,<150,na,na,na,na,0,na,0,na,0,West_Clear_Creek,3/17/2022,8
269,Available,na,6.15,Riffle,,28,0.44,Cobble,Yes,Substrate_Feature,20,na,0,na,0,West_Clear_Creek,3/17/2022,8
270,Available,na,9,Riffle,,32,0.21,Silt Clay,No,Substrate_Feature,10,Aquatic_Vegetation,10,na,0,West_Clear_Creek,3/17/2022,8
271,Available,na,9.72,Riffle,,61,0.91,Bedrock,No,Substrate_Feature,10,na,0,na,0,West_Clear_Creek,3/17/2022,8
272,Available,na,11.75,Riffle,,49,0.03,Boulder,Yes,Substrate_Feature,20,na,0,na,0,West_Clear_Creek,3/17/2022,8
273,Available,na,8.19,Riffle,,60,0.77,Cobble,Yes,Surface_Turbulence,10,Substrate_Feature,10,na,0,West_Clear_Creek,3/17/2022,8
274,Available,na,8.15,Riffle,,48,0.64,Cobble,No,Surface_Turbulence,30,Substrate_Feature,20,na,0,West_Clear_Creek,3/17/2022,8
275,Available,na,8.34,Riffle,,46,0.66,Cobble,Yes,Substrate_Feature,20,Surface_Turbulence,20,na,0,West_Clear_Creek,3/17/2022,8
276,Available,na,11.86,Riffle,,37,0.21,Boulder,No,Substrate_Feature,20,Surface_Turbulence,20,na,0,West_Clear_Creek,3/17/2022,8
277,Available,na,15.47,Riffle,,97,0.08,Boulder,Yes,Substrate_Feature,40,na,0,na,0,West_Clear_Creek,3/17/2022,8
278,Available,na,19,Riffle,,59,0.45,Cobble,No,Substrate_Feature,20,Surface_Turbulence,10,na,0,West_Clear_Creek,3/17/2022,8
279,Available,na,8.21,Riffle,,39,0.14,Gravel,Yes,Woody_Debris,10,na,0,na,0,West_Clear_Creek,3/17/2022,8
280,Available,na,22.7,Riffle,,23,0.38,Gravel,No,na,0,na,0,na,0,West_Clear_Creek,3/17/2022,8
281,Available,na,26.5,Riffle,,61,0.3,Cobble,No,Substrate_Feature,10,na,0,na,0,West_Clear_Creek,3/17/2022,8
282,Available,na,6.03,Riffle,,58,0.12,Cobble,Yes,Substrate_Feature,20,na,0,na,0,West_Clear_Creek,3/17/2022,8
283,Available,na,15.3,Pool,,62,0.37,Pebble,Yes,Substrate_Feature,20,na,0,na,0,West_Clear_Creek,3/17/2022,8
284,Available,na,12.46,Pool,,89,0.46,Boulder,Yes,Substrate_Feature,40,na,0,na,0,West_Clear_Creek,3/17/2022,8
285,Available,na,11.22,Pool,,88,0.2,Boulder,No,Substrate_Feature,50,na,0,na,0,West_Clear_Creek,3/17/2022,8
286,Available,na,10.26,Pool,,95,0.11,Cobble,Yes,na,0,na,0,na,0,West_Clear_Creek,3/17/2022,8
287,Available,na,12.31,Pool,,55,0.11,Cobble,Yes,Aquatic_Vegetation,30,Substrate_Feature,10,na,0,West_Clear_Creek,3/17/2022,8
288,Available,na,12.92,Riffle,,74,0,Boulder,Yes,Substrate_Feature,30,Woody_Debris,20,na,0,West_Clear_Creek,3/17/2022,8
289,Available,na,13.45,Pool,,78,0.06,Gravel,Yes,Substrate_Feature,20,na,0,na,0,West_Clear_Creek,3/17/2022,8
290,Available,na,11.01,Riffle,,24,0.3,Silt Clay,Yes,Aquatic_Vegetation,40,na,0,na,0,West_Clear_Creek,3/17/2022,8
291,Available,na,15.1,Pool,,65,0.22,Gravel,Yes,Substrate_Feature,30,na,0,na,0,West_Clear_Creek,3/17/2022,8
292,Available,na,14.23,Pool,,30,0.02,Boulder,Yes,Substrate_Feature,60,na,0,na,0,West_Clear_Creek,3/17/2022,8
293,Available,na,16.2,Riffle,,54,0.33,Cobble,Yes,Substrate_Feature,40,Surface_Turbulence,5,na,0,West_Clear_Creek,3/17/2022,8
294,Available,na,14.8,Riffle,,73,0.47,Cobble,Yes,Substrate_Feature,30,Surface_Turbulence,20,na,0,West_Clear_Creek,3/17/2022,8
295,Available,na,12.4,Riffle,,108,0.58,Cobble,Yes,Substrate_Feature,20,na,0,na,0,West_Clear_Creek,3/17/2022,8
296,Available,na,13.2,Riffle,,85,0.39,Cobble,Yes,Substrate_Feature,30,Surface_Turbulence,20,na,0,West_Clear_Creek,3/17/2022,8
297,Available,na,14.3,Riffle,,27,0.22,Pebble,Yes,Substrate_Feature,10,Surface_Turbulence,20,na,0,West_Clear_Creek,3/17/2022,8
298,Available,na,7.33,Riffle,,23,0.25,Boulder,Yes,Surface_Turbulence,20,Substrate_Feature,20,na,0,West_Clear_Creek,3/17/2022,8
299,Available,na,15.3,Pool,,46,0.36,Boulder,Yes,Substrate_Feature,40,na,0,na,0,West_Clear_Creek,3/17/2022,8
300,Available,na,13.18,Pool,,52,0.05,Pebble,Yes,na,0,na,0,na,0,West_Clear_Creek,3/17/2022,8
301,Occupied,158,19.94,Pool,,60,0.17,Pebble,Yes,na,0,na,0,na,0,West_Clear_Creek,3/17/2022,8
302,Available,na,20.5,Pool,,>150,na,na,na,na,0,na,0,na,0,West_Clear_Creek,3/17/2022,8
303,Available,na,16.76,Pool,,>150,na,na,na,na,0,na,0,na,0,West_Clear_Creek,3/17/2022,8
304,Available,na,21.87,Pool,,>150,na,na,na,na,0,na,0,na,0,West_Clear_Creek,3/17/2022,8
305,Available,na,17.43,Pool,,>150,na,na,na,na,0,na,0,na,0,West_Clear_Creek,3/17/2022,8
306,Occupied,161,17.6,Pool,,>150,na,na,na,na,0,na,0,na,0,West_Clear_Creek,3/17/2022,8
307,Occupied,197,17.6,Pool,,>150,na,na,na,na,0,na,0,na,0,West_Clear_Creek,3/17/2022,8
308,Occupied,164,17.6,Pool,,>150,na,na,na,na,0,na,0,na,0,West_Clear_Creek,3/17/2022,8
309,Occupied,176,17.6,Pool,,>150,na,na,na,na,0,na,0,na,0,West_Clear_Creek,3/17/2022,8
310,Occupied,169,17.6,Pool,,>150,na,na,na,na,0,na,0,na,0,West_Clear_Creek,3/17/2022,8
311,Available,na,10.57,Riffle,,28,0.31,Cobble,Yes,Substrate_Feature,20,na,0,na,0,West_Clear_Creek,3/17/2022,8
312,Available,na,11.48,Riffle,,44,0.23,Pebble,Yes,Substrate_Feature,10,na,0,na,0,West_Clear_Creek,3/17/2022,8
313,Available,na,12,Riffle,,70,0.3,Boulder,Yes,Substrate_Feature,40,na,0,na,0,West_Clear_Creek,3/17/2022,8
314,Available,na,12.25,Riffle,,43,0.37,Boulder,Yes,Substrate_Feature,20,Surface_Turbulence,10,na,0,West_Clear_Creek,3/17/2022,8
315,Available,na,13.23,Riffle,,34,0.1,Cobble,Yes,Substrate_Feature,10,Woody_Debris,40,na,0,West_Clear_Creek,3/17/2022,8
316,Available,na,12.81,Riffle,,53,0.35,Boulder,Yes,Substrate_Feature,30,Surface_Turbulence,10,na,0,West_Clear_Creek,3/17/2022,8
317,Available,na,10.86,Riffle,,67,0.29,Boulder,Yes,Substrate_Feature,40,na,0,na,0,West_Clear_Creek,3/17/2022,8
318,Occupied,189,10.14,Riffle,,59,0.7,Boulder,Yes,Surface_Turbulence,50,Substrate_Feature,20,na,0,West_Clear_Creek,3/17/2022,8
319,Occupied,200,10.81,Riffle,,60,1.18,Boulder,Yes,Substrate_Feature,30,Surface_Turbulence,60,na,0,West_Clear_Creek,3/17/2022,8
320,Available,na,12.3,Riffle,,64,0.91,Boulder,Yes,Substrate_Feature,40,Surface_Turbulence,30,na,0,West_Clear_Creek,3/17/2022,8
321,Available,na,8.83,Riffle,,51,1.33,Boulder,Yes,Surface_Turbulence,70,Substrate_Feature,30,na,0,West_Clear_Creek,3/17/2022,8
322,Available,na,11.78,Riffle,,43,0.19,Boulder,Yes,Substrate_Feature,60,na,0,na,0,West_Clear_Creek,3/17/2022,8
323,Available,na,17.02,Pool,,73,0.06,Silt Clay,Yes,na,0,na,0,na,0,West_Clear_Creek,3/17/2022,8
324,Occupied,165,16.92,Pool,,104,0.06,Silt Clay,Yes,Woody_Debris,10,na,0,na,0,West_Clear_Creek,3/17/2022,8
325,Available,na,13.15,Pool,,>150,na,na,na,na,0,na,0,na,0,West_Clear_Creek,3/17/2022,8
326,Available,na,14.92,Pool,,43,0,Silt Clay,Yes,Woody_Debris,40,na,0,na,0,West_Clear_Creek,3/17/2022,8
